City,Region,Country,ParentLocation,AirQuality,WaterPollution
New York City,New York,United States of America,Americas,46.81603774,49.5049505
"Washington, D.C.",District of Columbia,United States of America,Americas,66.12903226,49.10714286
San Francisco,California,United States of America,Americas,60.51401869,43
Los Angeles,California,United States of America,Americas,36.62162162,61.29943503
Alexandria,Virginia,United States of America,Americas,89.0625,46.15384615
Boston,Massachusetts,United States of America,Americas,78.23529412,32.91139241
Toronto,Ontario,Canada,Americas,65.53468208,37.7994012
Sao Paulo,Sao Paulo,Brazil,Americas,24.05660377,73.71794872
Montreal,Quebec,Canada,Americas,70.76023392,36.96319018
Saginaw,Michigan,United States of America,Americas,85,70
San Antonio,Texas,United States of America,Americas,63.41463415,50.67567568
Chicago,Illinois,United States of America,Americas,57.43243243,53.62068966
Montevideo,Montevideo Department,Uruguay,Americas,65.78947368,46.75324675
Pittsburgh,Pennsylvania,United States of America,Americas,58.92857143,59.61538462
Philadelphia,Pennsylvania,United States of America,Americas,54.28571429,55.64516129
Buenos Aires,,Argentina,Americas,54.26470588,54.84375
Mexico City,,Mexico,Americas,18.07909605,69.59064327
La Paz,La Paz Department,Bolivia,Americas,27.94117647,79.54545455
Caracas,Capital District,Venezuela,Americas,43.359375,69.06779661
Guatemala City,Guatemala Department,Guatemala,Americas,39.28571429,69.53125
Havana,Havana Province,Cuba,Americas,46.66666667,50
Concepcion,Biobio Region,Chile,Americas,55.76923077,33.33333333
Ottawa,Ontario,Canada,Americas,84.56375839,27.99295775
Iqaluit,Nunavut,Canada,Americas,50,50
Whitehorse,Yukon,Canada,Americas,92.5,12.5
Yellowknife,Northwest Territories,Canada,Americas,87.5,43.75
St. John's,Newfoundland and Labrador,Canada,Americas,90.625,35.41666667
Edmonton,,Canada,Americas,72.03703704,27.46212121
Regina,Saskatchewan,Canada,Americas,68.57142857,42.74193548
Charlottetown,Prince Edward Island,Canada,Americas,97.5,20
Victoria,British Columbia,Canada,Americas,92.72151899,27.7027027
Winnipeg,Manitoba,Canada,Americas,71.31147541,42.64705882
Fredericton,New Brunswick,Canada,Americas,90,31.25
Halifax,Nova Scotia,Canada,Americas,84.57446809,36.25
Quebec City,Quebec,Canada,Americas,82.5,43.75
Arica,Arica y Parinacota Region,Chile,Americas,75,50
Nassau,,The Bahamas,Americas,50,59.25925926
Bogota,,Colombia,Americas,23.35025381,48.15789474
Brasilia,Federal District,Brazil,Americas,76.53061224,38.04347826
Lima,Lima region,Peru,Americas,19.75,76.04166667
Santiago,Santiago Metropolitan Region,Chile,Americas,17.71523179,40.23972603
Quito,Pichincha Province,Ecuador,Americas,35.86956522,53.07692308
Asuncion,Capital District,Paraguay,Americas,39.65517241,67
Paramaribo,Paramaribo District,Suriname,Americas,61.36363636,54.54545455
Belmopan,Cayo District,Belize,Americas,62.5,54.16666667
San Jose,San Jose Province,Costa Rica,Americas,57.43243243,46.09375
San Salvador,San Salvador Department,El Salvador,Americas,18.42105263,76.5625
Tegucigalpa,Francisco Morazan Department,Honduras,Americas,22.61904762,88.46153846
Managua,Managua Department,Nicaragua,Americas,58.33333333,76.66666667
Panama City,Panama Province,Panama,Americas,49.23076923,67.06349206
Antofagasta,Antofagasta Region,Chile,Americas,31.25,81.25
Calama,Antofagasta Region,Chile,Americas,20,75
Chiguayante,Biobio Region,Chile,Americas,50,50
Chillan,Nuble Region,Chile,Americas,37.5,50
Coyhaique,Aysen Region,Chile,Americas,0,25
Concon,Valparaiso Region,Chile,Americas,37.5,50
Copiapo,Atacama Region,Chile,Americas,12.5,50
Atletico Morelia,Coquimbo Region,Chile,Americas,50,50
Coronel,Biobio Region,Chile,Americas,50,50
Osasco,Sao Paulo,Brazil,Americas,35,66.66666667
Curitiba,Parana,Brazil,Americas,73.10126582,48.91304348
Talca,Maule Region,Chile,Americas,40,0
Rancagua,O'Higgins Region,Chile,Americas,0,100
Barquisimeto,Lara,Venezuela,Americas,25,100
Seattle,Washington,United States of America,Americas,79.37062937,36.94852941
Baltimore,Maryland,United States of America,Americas,62.5,64.13043478
Huntington Beach,California,United States of America,Americas,85.71428571,65.625
Portland,Oregon,United States of America,Americas,74.12280702,36.34259259
Indianapolis,Indiana,United States of America,Americas,67.44186047,50.65789474
Miami,Florida,United States of America,Americas,70.2020202,47.36842105
Rio de Janeiro,Rio de Janeiro,Brazil,Americas,46.81208054,77.24137931
Cancun,Quintana Roo,Mexico,Americas,75,55
Guadalajara,Jalisco,Mexico,Americas,43.07692308,64.54545455
Saskatoon,Saskatchewan,Canada,Americas,74.32432432,29.6875
Georgetown,Demerara-Mahaica,Guyana,Americas,51.31578947,83.33333333
Detroit,Michigan,United States of America,Americas,51.2195122,52.08333333
Curico,Maule Region,Chile,Americas,25,50
Huasco,Atacama Region,Chile,Americas,87.5,50
Iquique,Tarapaca Region,Chile,Americas,40,50
La Serena,Coquimbo Region,Chile,Americas,50,62.5
Linares,Maule Region,Chile,Americas,0,50
Maldonado,Maldonado Department,Uruguay,Americas,100,0
Nanaimo,British Columbia,Canada,Americas,89.77272727,29.16666667
San Diego,California,United States of America,Americas,74.38271605,52.36486486
San Jose,California,United States of America,Americas,62.20930233,41.25
Denver,Colorado,United States of America,Americas,53.1779661,36.83035714
Houston,Texas,United States of America,Americas,45.86092715,57.09459459
Phoenix,Arizona,United States of America,Americas,44.29347826,47.64705882
Dallas,Texas,United States of America,Americas,63.38028169,42.69230769
Fort Worth,Texas,United States of America,Americas,47.72727273,51.13636364
Austin,Texas,United States of America,Americas,68.57142857,43.5
El Paso,Texas,United States of America,Americas,63.75,44.64285714
Memphis,Tennessee,United States of America,Americas,66.30434783,48.68421053
Charlotte,North Carolina,United States of America,Americas,76.875,31.57894737
Columbus,Ohio,United States of America,Americas,87.5,62.5
Jacksonville,Florida,United States of America,Americas,75.65789474,66.21621622
Long Beach,California,United States of America,Americas,50,32.69230769
Maple Ridge,British Columbia,Canada,Americas,66.66666667,41.66666667
Laredo,Texas,United States of America,Americas,0,100
Los Angeles,Biobio Region,Chile,Americas,12.5,50
Oakland,California,United States of America,Americas,72.14285714,33.33333333
Sacramento,California,United States of America,Americas,55.09259259,39.89361702
Honolulu,Hawaii,United States of America,Americas,74.58333333,41.51785714
Providence,Rhode Island,United States of America,Americas,76.47058824,59.61538462
Brooklyn,New York,United States of America,Americas,52.08333333,33.65384615
Tucson,Arizona,United States of America,Americas,84.27419355,39.65517241
Aurora,Illinois,United States of America,Americas,75,25
Red Deer,Alberta,Canada,Americas,58.82352941,42.5
Nashville,Tennessee,United States of America,Americas,70,42.94871795
Salt Lake City,Utah,United States of America,Americas,23.13432836,41.66666667
Merida,Merida State,Venezuela,Americas,75,25
Atlanta,Georgia,United States of America,Americas,59.6875,46.57534247
Las Vegas,Nevada,United States of America,Americas,51.72413793,49.69135802
Vancouver,British Columbia,Canada,Americas,80.56930693,31.66666667
Albany,New York,United States of America,Americas,87.5,31.25
Harrisburg,Pennsylvania,United States of America,Americas,82.5,37.5
Trenton,New Jersey,United States of America,Americas,85,100
Newark,New Jersey,United States of America,Americas,50,62.5
Jersey City,New Jersey,United States of America,Americas,58.33333333,60
Keller,Texas,United States of America,Americas,66.66666667,25
Ciudad Juarez,Chihuahua,Mexico,Americas,56.25,43.75
Davenport,Iowa,United States of America,Americas,86.36363636,53.57142857
Ciudad Bolivar,Bolivar,Venezuela,Americas,100,50
Jackson,Mississippi,United States of America,Americas,85.41666667,28.57142857
Augusta,Maine,United States of America,Americas,50,100
Baton Rouge,Louisiana,United States of America,Americas,64.58333333,40.625
