IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,AMR,Americas,Country,TTO,Trinidad and Tobago,Year,2019,TRUE,Residence Area Type,rural,RESIDENCEAREATYPE_RUR,,,,,,,,,,10.02,,,7.44,,12.55,10.02 [7.44-12.55],,,EN,2022-08-11T23:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,GBR,United Kingdom of Great Britain and Northern Ireland,Year,2019,TRUE,Residence Area Type,Cities,RESIDENCEAREATYPE_CITY,,,,,,,,,,10.06,,,9.73,,10.39,10.06 [9.73-10.39],,,EN,2022-08-11T23:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,AMR,Americas,Country,BRA,Brazil,Year,2019,TRUE,Residence Area Type,Towns,RESIDENCEAREATYPE_TOWN,,,,,,,,,,10.09,,,8.23,,12.46,10.09 [8.23-12.46],,,EN,2022-08-11T23:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,RUS,Russian Federation,Year,2019,TRUE,Residence Area Type,Cities,RESIDENCEAREATYPE_CITY,,,,,,,,,,10.19,,,8.58,,12.57,10.19 [8.58-12.57],,,EN,2022-08-11T23:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,ESP,Spain,Year,2019,TRUE,Residence Area Type,Cities,RESIDENCEAREATYPE_CITY,,,,,,,,,,10.19,,,9.94,,10.38,10.19 [9.94-10.38],,,EN,2022-08-11T23:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,AMR,Americas,Country,GRD,Grenada,Year,2019,TRUE,Residence Area Type,Towns,RESIDENCEAREATYPE_TOWN,,,,,,,,,,10.22,,,7.15,,13.37,10.22 [7.15-13.37],,,EN,2022-08-11T23:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,FRA,France,Year,2019,TRUE,Residence Area Type,Towns,RESIDENCEAREATYPE_TOWN,,,,,,,,,,10.27,,,10.06,,10.49,10.27 [10.06-10.49],,,EN,2022-08-11T23:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,AMR,Americas,Country,GUY,Guyana,Year,2019,TRUE,Residence Area Type,rural,RESIDENCEAREATYPE_RUR,,,,,,,,,,10.33,,,5.34,,16.66,10.33 [5.34-16.66],,,EN,2022-08-11T23:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,AUT,Austria,Year,2019,TRUE,Residence Area Type,rural,RESIDENCEAREATYPE_RUR,,,,,,,,,,10.34,,,10,,10.76,10.34 [10.00-10.76],,,EN,2022-08-11T23:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,AMR,Americas,Country,HTI,Haiti,Year,2019,TRUE,Residence Area Type,Cities,RESIDENCEAREATYPE_CITY,,,,,,,,,,10.38,,,5.52,,17.73,10.38 [5.52-17.73],,,EN,2022-08-11T23:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,AMR,Americas,Country,TTO,Trinidad and Tobago,Year,2019,TRUE,Residence Area Type,Cities,RESIDENCEAREATYPE_CITY,,,,,,,,,,10.39,,,8.24,,12.69,10.39 [8.24-12.69],,,EN,2022-08-11T23:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,AMR,Americas,Country,TTO,Trinidad and Tobago,Year,2019,TRUE,Residence Area Type,Towns,RESIDENCEAREATYPE_TOWN,,,,,,,,,,10.4,,,8.09,,12.76,10.40 [8.09-12.76],,,EN,2022-08-11T23:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,AMR,Americas,Country,BLZ,Belize,Year,2019,TRUE,Residence Area Type,Towns,RESIDENCEAREATYPE_TOWN,,,,,,,,,,10.44,,,4.31,,19.96,10.44 [4.31-19.96],,,EN,2022-08-11T23:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,AMR,Americas,Country,BLZ,Belize,Year,2019,TRUE,Residence Area Type,Cities,RESIDENCEAREATYPE_CITY,,,,,,,,,,10.45,,,4.57,,20.74,10.45 [4.57-20.74],,,EN,2022-08-11T23:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,NLD,Netherlands,Year,2019,TRUE,Residence Area Type,Towns,RESIDENCEAREATYPE_TOWN,,,,,,,,,,10.5,,,10.02,,11.03,10.50 [10.02-11.03],,,EN,2022-08-11T23:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,AMR,Americas,Country,BLZ,Belize,Year,2019,TRUE,Residence Area Type,rural,RESIDENCEAREATYPE_RUR,,,,,,,,,,10.51,,,4.32,,20.56,10.51 [4.32-20.56],,,EN,2022-08-11T23:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,DEU,Germany,Year,2019,TRUE,Residence Area Type,Towns,RESIDENCEAREATYPE_TOWN,,,,,,,,,,10.55,,,10.34,,10.78,10.55 [10.34-10.78],,,EN,2022-08-11T23:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,DNK,Denmark,Year,2019,TRUE,Residence Area Type,Cities,RESIDENCEAREATYPE_CITY,,,,,,,,,,10.7,,,10.14,,11.47,10.70 [10.14-11.47],,,EN,2022-08-11T23:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,AMR,Americas,Country,CUB,Cuba,Year,2019,TRUE,Residence Area Type,rural,RESIDENCEAREATYPE_RUR,,,,,,,,,,10.86,,,7.46,,16.91,10.86 [7.46-16.91],,,EN,2022-08-11T23:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,AMR,Americas,Country,SUR,Suriname,Year,2019,TRUE,Residence Area Type,rural,RESIDENCEAREATYPE_RUR,,,,,,,,,,10.89,,,5.69,,17.35,10.89 [5.69-17.35],,,EN,2022-08-11T23:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,AMR,Americas,Country,ARG,Argentina,Year,2019,TRUE,Residence Area Type,Cities,RESIDENCEAREATYPE_CITY,,,,,,,,,,11.07,,,8.82,,13.4,11.07 [8.82-13.40],,,EN,2022-08-11T23:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,BEL,Belgium,Year,2019,TRUE,Residence Area Type,Towns,RESIDENCEAREATYPE_TOWN,,,,,,,,,,11.08,,,10.51,,11.56,11.08 [10.51-11.56],,,EN,2022-08-11T23:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,NLD,Netherlands,Year,2019,TRUE,Residence Area Type,Cities,RESIDENCEAREATYPE_CITY,,,,,,,,,,11.15,,,10.85,,11.45,11.15 [10.85-11.45],,,EN,2022-08-11T23:00:00.000Z
